"sect","cell","slot","essname","len[mm]","s,s[mm]","MCS,s,x[mm]","MCS,s,y[mm]","MCS,s,z[mm]","s,m[mm]","MCS,m,x[mm]","MCS,m,y[mm]","MCS,m,z[mm]","s,e[mm]","MCS,e,x[mm]","MCS,e,y[mm]","MCS,e,z[mm]","TCS,s,x[mm]","TCS,s,y[mm]","TCS,s,z[mm]","TCS,m,x[mm]","TCS,m,y[mm]","TCS,m,z[mm]","TCS,e,x[mm]","TCS,e,y[mm]","TCS,e,z[mm]"
"ISrc","010","","ISrc-010",166.1,0.0,0.0,0.0,0.0,83.05,0.0,0.0,83.05,166.1,0.0,0.0,166.1,0.0,-4500.0,-602627.154,0.0,-4500.0,-602544.104,0.0,-4500.0,-602461.054
"LEBT","010","","LEBT-010",2339.8,166.1,0.0,0.0,166.1,1336.0,0.0,0.0,1336.0,2505.9,0.0,0.0,2505.9,0.0,-4500.0,-602461.054,0.0,-4500.0,-601291.154,0.0,-4500.0,-600121.254
"RFQ","010","","RFQ-010",4652.072,2505.9,0.0,0.0,2505.9,4831.936,0.0,0.0,4831.936,7157.972,0.0,0.0,7157.972,0.0,-4500.0,-600121.254,0.0,-4500.0,-597795.218,0.0,-4500.0,-595469.182
"MEBT","010","","MEBT-010",3812.0,7157.972,0.0,0.0,7157.972,9063.972,0.0,0.0,9063.972,10969.972,0.0,0.0,10969.972,0.0,-4500.0,-595469.182,0.0,-4500.0,-593563.182,0.0,-4500.0,-591657.182
"DTL","010","","DTL-010",7709.636,10969.972,0.0,0.0,10969.972,14824.79,0.0,0.0,14824.79,18679.608,0.0,0.0,18679.608,0.0,-4500.0,-591657.182,0.0,-4500.0,-587802.364,0.0,-4500.0,-583947.546
"DTL","020","","DTL-020",7517.807,18679.608,0.0,0.0,18679.608,22438.511,0.0,0.0,22438.511,26197.414,0.0,0.0,26197.414,0.0,-4500.0,-583947.546,0.0,-4500.0,-580188.643,0.0,-4500.0,-576429.74
"DTL","030","","DTL-030",7866.114,26197.414,0.0,0.0,26197.414,30130.471,0.0,0.0,30130.471,34063.528,0.0,0.0,34063.528,0.0,-4500.0,-576429.74,0.0,-4500.0,-572496.683,0.0,-4500.0,-568563.626
"DTL","040","","DTL-040",7847.213,34063.528,0.0,0.0,34063.528,37987.135,0.0,0.0,37987.135,41910.741,0.0,0.0,41910.741,0.0,-4500.0,-568563.626,0.0,-4500.0,-564640.019,0.0,-4500.0,-560716.413
"DTL","050","","DTL-050",8217.977,41910.741,0.0,0.0,41910.741,46019.73,0.0,0.0,46019.73,50128.718,0.0,0.0,50128.718,0.0,-4500.0,-560716.413,0.0,-4500.0,-556607.424,0.0,-4500.0,-552498.436
"Spk","010","LWU","Spk-010LWU",1669.0,50128.718,0.0,0.0,50128.718,50963.218,0.0,0.0,50963.218,51797.718,0.0,0.0,51797.718,0.0,-4500.0,-552498.436,0.0,-4500.0,-551663.936,0.0,-4500.0,-550829.436
"Spk","010","Crm","Spk-010Crm",2860.0,51797.718,0.0,0.0,51797.718,53227.718,0.0,0.0,53227.718,54657.718,0.0,0.0,54657.718,0.0,-4500.0,-550829.436,0.0,-4500.0,-549399.436,0.0,-4500.0,-547969.436
"Spk","020","LWU","Spk-020LWU",1400.0,54657.718,0.0,0.0,54657.718,55357.718,0.0,0.0,55357.718,56057.718,0.0,0.0,56057.718,0.0,-4500.0,-547969.436,0.0,-4500.0,-547269.436,0.0,-4500.0,-546569.436
"Spk","020","Crm","Spk-020Crm",2860.0,56057.718,0.0,0.0,56057.718,57487.718,0.0,0.0,57487.718,58917.718,0.0,0.0,58917.718,0.0,-4500.0,-546569.436,0.0,-4500.0,-545139.436,0.0,-4500.0,-543709.436
"Spk","030","LWU","Spk-030LWU",1400.0,58917.718,0.0,0.0,58917.718,59617.718,0.0,0.0,59617.718,60317.718,0.0,0.0,60317.718,0.0,-4500.0,-543709.436,0.0,-4500.0,-543009.436,0.0,-4500.0,-542309.436
"Spk","030","Crm","Spk-030Crm",2860.0,60317.718,0.0,0.0,60317.718,61747.718,0.0,0.0,61747.718,63177.718,0.0,0.0,63177.718,0.0,-4500.0,-542309.436,0.0,-4500.0,-540879.436,0.0,-4500.0,-539449.436
"Spk","040","LWU","Spk-040LWU",1400.0,63177.718,0.0,0.0,63177.718,63877.718,0.0,0.0,63877.718,64577.718,0.0,0.0,64577.718,0.0,-4500.0,-539449.436,0.0,-4500.0,-538749.436,0.0,-4500.0,-538049.436
"Spk","040","Crm","Spk-040Crm",2860.0,64577.718,0.0,0.0,64577.718,66007.718,0.0,0.0,66007.718,67437.718,0.0,0.0,67437.718,0.0,-4500.0,-538049.436,0.0,-4500.0,-536619.436,0.0,-4500.0,-535189.436
"Spk","050","LWU","Spk-050LWU",1400.0,67437.718,0.0,0.0,67437.718,68137.718,0.0,0.0,68137.718,68837.718,0.0,0.0,68837.718,0.0,-4500.0,-535189.436,0.0,-4500.0,-534489.436,0.0,-4500.0,-533789.436
"Spk","050","Crm","Spk-050Crm",2860.0,68837.718,0.0,0.0,68837.718,70267.718,0.0,0.0,70267.718,71697.718,0.0,0.0,71697.718,0.0,-4500.0,-533789.436,0.0,-4500.0,-532359.436,0.0,-4500.0,-530929.436
"Spk","060","LWU","Spk-060LWU",1400.0,71697.718,0.0,0.0,71697.718,72397.718,0.0,0.0,72397.718,73097.718,0.0,0.0,73097.718,0.0,-4500.0,-530929.436,0.0,-4500.0,-530229.436,0.0,-4500.0,-529529.436
"Spk","060","Crm","Spk-060Crm",2860.0,73097.718,0.0,0.0,73097.718,74527.718,0.0,0.0,74527.718,75957.718,0.0,0.0,75957.718,0.0,-4500.0,-529529.436,0.0,-4500.0,-528099.436,0.0,-4500.0,-526669.436
"Spk","070","LWU","Spk-070LWU",1400.0,75957.718,0.0,0.0,75957.718,76657.718,0.0,0.0,76657.718,77357.718,0.0,0.0,77357.718,0.0,-4500.0,-526669.436,0.0,-4500.0,-525969.436,0.0,-4500.0,-525269.436
"Spk","070","Crm","Spk-070Crm",2860.0,77357.718,0.0,0.0,77357.718,78787.718,0.0,0.0,78787.718,80217.718,0.0,0.0,80217.718,0.0,-4500.0,-525269.436,0.0,-4500.0,-523839.436,0.0,-4500.0,-522409.436
"Spk","080","LWU","Spk-080LWU",1400.0,80217.718,0.0,0.0,80217.718,80917.718,0.0,0.0,80917.718,81617.718,0.0,0.0,81617.718,0.0,-4500.0,-522409.436,0.0,-4500.0,-521709.436,0.0,-4500.0,-521009.436
"Spk","080","Crm","Spk-080Crm",2860.0,81617.718,0.0,0.0,81617.718,83047.718,0.0,0.0,83047.718,84477.718,0.0,0.0,84477.718,0.0,-4500.0,-521009.436,0.0,-4500.0,-519579.436,0.0,-4500.0,-518149.436
"Spk","090","LWU","Spk-090LWU",1400.0,84477.718,0.0,0.0,84477.718,85177.718,0.0,0.0,85177.718,85877.718,0.0,0.0,85877.718,0.0,-4500.0,-518149.436,0.0,-4500.0,-517449.436,0.0,-4500.0,-516749.436
"Spk","090","Crm","Spk-090Crm",2860.0,85877.718,0.0,0.0,85877.718,87307.718,0.0,0.0,87307.718,88737.718,0.0,0.0,88737.718,0.0,-4500.0,-516749.436,0.0,-4500.0,-515319.436,0.0,-4500.0,-513889.436
"Spk","100","LWU","Spk-100LWU",1400.0,88737.718,0.0,0.0,88737.718,89437.718,0.0,0.0,89437.718,90137.718,0.0,0.0,90137.718,0.0,-4500.0,-513889.436,0.0,-4500.0,-513189.436,0.0,-4500.0,-512489.436
"Spk","100","Crm","Spk-100Crm",2860.0,90137.718,0.0,0.0,90137.718,91567.718,0.0,0.0,91567.718,92997.718,0.0,0.0,92997.718,0.0,-4500.0,-512489.436,0.0,-4500.0,-511059.436,0.0,-4500.0,-509629.436
"Spk","110","LWU","Spk-110LWU",1400.0,92997.718,0.0,0.0,92997.718,93697.718,0.0,0.0,93697.718,94397.718,0.0,0.0,94397.718,0.0,-4500.0,-509629.436,0.0,-4500.0,-508929.436,0.0,-4500.0,-508229.436
"Spk","110","Crm","Spk-110Crm",2860.0,94397.718,0.0,0.0,94397.718,95827.718,0.0,0.0,95827.718,97257.718,0.0,0.0,97257.718,0.0,-4500.0,-508229.436,0.0,-4500.0,-506799.436,0.0,-4500.0,-505369.436
"Spk","120","LWU","Spk-120LWU",1400.0,97257.718,0.0,0.0,97257.718,97957.718,0.0,0.0,97957.718,98657.718,0.0,0.0,98657.718,0.0,-4500.0,-505369.436,0.0,-4500.0,-504669.436,0.0,-4500.0,-503969.436
"Spk","120","Crm","Spk-120Crm",2860.0,98657.718,0.0,0.0,98657.718,100087.718,0.0,0.0,100087.718,101517.718,0.0,0.0,101517.718,0.0,-4500.0,-503969.436,0.0,-4500.0,-502539.436,0.0,-4500.0,-501109.436
"Spk","130","LWU","Spk-130LWU",1400.0,101517.718,0.0,0.0,101517.718,102217.718,0.0,0.0,102217.718,102917.718,0.0,0.0,102917.718,0.0,-4500.0,-501109.436,0.0,-4500.0,-500409.436,0.0,-4500.0,-499709.436
"Spk","130","Crm","Spk-130Crm",2860.0,102917.718,0.0,0.0,102917.718,104347.718,0.0,0.0,104347.718,105777.718,0.0,0.0,105777.718,0.0,-4500.0,-499709.436,0.0,-4500.0,-498279.436,0.0,-4500.0,-496849.436
"MBL","010","LWU","MBL-010LWU",1932.4,105777.718,0.0,0.0,105777.718,106743.918,0.0,0.0,106743.918,107710.118,0.0,0.0,107710.118,0.0,-4500.0,-496849.436,0.0,-4500.0,-495883.236,0.0,-4500.0,-494917.036
"MBL","010","Crm","MBL-010Crm",6587.6,107710.118,0.0,0.0,107710.118,111003.918,0.0,0.0,111003.918,114297.718,0.0,0.0,114297.718,0.0,-4500.0,-494917.036,0.0,-4500.0,-491623.236,0.0,-4500.0,-488329.436
"MBL","020","LWU","MBL-020LWU",1932.4,114297.718,0.0,0.0,114297.718,115263.918,0.0,0.0,115263.918,116230.118,0.0,0.0,116230.118,0.0,-4500.0,-488329.436,0.0,-4500.0,-487363.236,0.0,-4500.0,-486397.036
"MBL","020","Crm","MBL-020Crm",6587.6,116230.118,0.0,0.0,116230.118,119523.918,0.0,0.0,119523.918,122817.718,0.0,0.0,122817.718,0.0,-4500.0,-486397.036,0.0,-4500.0,-483103.236,0.0,-4500.0,-479809.436
"MBL","030","LWU","MBL-030LWU",1932.4,122817.718,0.0,0.0,122817.718,123783.918,0.0,0.0,123783.918,124750.118,0.0,0.0,124750.118,0.0,-4500.0,-479809.436,0.0,-4500.0,-478843.236,0.0,-4500.0,-477877.036
"MBL","030","Crm","MBL-030Crm",6587.6,124750.118,0.0,0.0,124750.118,128043.918,0.0,0.0,128043.918,131337.718,0.0,0.0,131337.718,0.0,-4500.0,-477877.036,0.0,-4500.0,-474583.236,0.0,-4500.0,-471289.436
"MBL","040","LWU","MBL-040LWU",1932.4,131337.718,0.0,0.0,131337.718,132303.918,0.0,0.0,132303.918,133270.118,0.0,0.0,133270.118,0.0,-4500.0,-471289.436,0.0,-4500.0,-470323.236,0.0,-4500.0,-469357.036
"MBL","040","Crm","MBL-040Crm",6587.6,133270.118,0.0,0.0,133270.118,136563.918,0.0,0.0,136563.918,139857.718,0.0,0.0,139857.718,0.0,-4500.0,-469357.036,0.0,-4500.0,-466063.236,0.0,-4500.0,-462769.436
"MBL","050","LWU","MBL-050LWU",1932.4,139857.718,0.0,0.0,139857.718,140823.918,0.0,0.0,140823.918,141790.118,0.0,0.0,141790.118,0.0,-4500.0,-462769.436,0.0,-4500.0,-461803.236,0.0,-4500.0,-460837.036
"MBL","050","Crm","MBL-050Crm",6587.6,141790.118,0.0,0.0,141790.118,145083.918,0.0,0.0,145083.918,148377.718,0.0,0.0,148377.718,0.0,-4500.0,-460837.036,0.0,-4500.0,-457543.236,0.0,-4500.0,-454249.436
"MBL","060","LWU","MBL-060LWU",1932.4,148377.718,0.0,0.0,148377.718,149343.918,0.0,0.0,149343.918,150310.118,0.0,0.0,150310.118,0.0,-4500.0,-454249.436,0.0,-4500.0,-453283.236,0.0,-4500.0,-452317.036
"MBL","060","Crm","MBL-060Crm",6587.6,150310.118,0.0,0.0,150310.118,153603.918,0.0,0.0,153603.918,156897.718,0.0,0.0,156897.718,0.0,-4500.0,-452317.036,0.0,-4500.0,-449023.236,0.0,-4500.0,-445729.436
"MBL","070","LWU","MBL-070LWU",1932.4,156897.718,0.0,0.0,156897.718,157863.918,0.0,0.0,157863.918,158830.118,0.0,0.0,158830.118,0.0,-4500.0,-445729.436,0.0,-4500.0,-444763.236,0.0,-4500.0,-443797.036
"MBL","070","Crm","MBL-070Crm",6587.6,158830.118,0.0,0.0,158830.118,162123.918,0.0,0.0,162123.918,165417.718,0.0,0.0,165417.718,0.0,-4500.0,-443797.036,0.0,-4500.0,-440503.236,0.0,-4500.0,-437209.436
"MBL","080","LWU","MBL-080LWU",1932.4,165417.718,0.0,0.0,165417.718,166383.918,0.0,0.0,166383.918,167350.118,0.0,0.0,167350.118,0.0,-4500.0,-437209.436,0.0,-4500.0,-436243.236,0.0,-4500.0,-435277.036
"MBL","080","Crm","MBL-080Crm",6587.6,167350.118,0.0,0.0,167350.118,170643.918,0.0,0.0,170643.918,173937.718,0.0,0.0,173937.718,0.0,-4500.0,-435277.036,0.0,-4500.0,-431983.236,0.0,-4500.0,-428689.436
"MBL","090","LWU","MBL-090LWU",1932.4,173937.718,0.0,0.0,173937.718,174903.918,0.0,0.0,174903.918,175870.118,0.0,0.0,175870.118,0.0,-4500.0,-428689.436,0.0,-4500.0,-427723.236,0.0,-4500.0,-426757.036
"MBL","090","Crm","MBL-090Crm",6587.6,175870.118,0.0,0.0,175870.118,179163.918,0.0,0.0,179163.918,182457.718,0.0,0.0,182457.718,0.0,-4500.0,-426757.036,0.0,-4500.0,-423463.236,0.0,-4500.0,-420169.436
"HBL","010","LWU","HBL-010LWU",1932.4,182457.718,0.0,0.0,182457.718,183423.918,0.0,0.0,183423.918,184390.118,0.0,0.0,184390.118,0.0,-4500.0,-420169.436,0.0,-4500.0,-419203.236,0.0,-4500.0,-418237.036
