"sect","cell","slot","disc","elem","index","doorsid","model","essname","len[mm]","r[mm]","s,s[mm]","MCS,s,x[mm]","MCS,s,y[mm]","MCS,s,z[mm]","s,m[mm]","MCS,m,x[mm]","MCS,m,y[mm]","MCS,m,z[mm]","s,e[mm]","MCS,e,x[mm]","MCS,e,y[mm]","MCS,e,z[mm]","TCS,s,x[mm]","TCS,s,y[mm]","TCS,s,z[mm]","TCS,m,x[mm]","TCS,m,y[mm]","TCS,m,z[mm]","TCS,e,x[mm]","TCS,e,y[mm]","TCS,e,z[mm]"
"","","","","","","","","MCS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0,-602627.154,0.0,-4500.0,-602627.154,0.0,-4500.0,-602627.154
"ISrc","010","","","Drf","001","","","",166.1,75.0,0.0,0.0,0.0,0.0,83.05,0.0,0.0,83.05,166.1,0.0,0.0,166.1,0.0,-4500.0,-602627.154,0.0,-4500.0,-602544.104,0.0,-4500.0,-602461.054
"LEBT","010","","","Drf","001","","","",35.0,75.0,166.1,0.0,0.0,166.1,183.6,0.0,0.0,183.6,201.1,0.0,0.0,201.1,0.0,-4500.0,-602461.054,0.0,-4500.0,-602443.554,0.0,-4500.0,-602426.054
"LEBT","010","","","Drf","002","","","",134.3,75.0,201.1,0.0,0.0,201.1,268.25,0.0,0.0,268.25,335.4,0.0,0.0,335.4,0.0,-4500.0,-602426.054,0.0,-4500.0,-602358.904,0.0,-4500.0,-602291.754
"LEBT","010","","BMD","Sol","001","","","LEBT-010:BMD-Sol-001",545.4,75.0,335.4,0.0,0.0,335.4,608.1,0.0,0.0,608.1,880.8,0.0,0.0,880.8,0.0,-4500.0,-602291.754,0.0,-4500.0,-602019.054,0.0,-4500.0,-601746.354
"LEBT","010","","","Drf","003","","","",79.49,75.0,880.8,0.0,0.0,880.8,920.545,0.0,0.0,920.545,960.29,0.0,0.0,960.29,0.0,-4500.0,-601746.354,0.0,-4500.0,-601706.609,0.0,-4500.0,-601666.864
"LEBT","010","","","Drf","004","","","",135.61,75.0,960.29,0.0,0.0,960.29,1028.095,0.0,0.0,1028.095,1095.9,0.0,0.0,1095.9,0.0,-4500.0,-601666.864,0.0,-4500.0,-601599.059,0.0,-4500.0,-601531.254
"LEBT","010","","","Drf","005","","","",15.0,40.0,1095.9,0.0,0.0,1095.9,1103.4,0.0,0.0,1103.4,1110.9,0.0,0.0,1110.9,0.0,-4500.0,-601531.254,0.0,-4500.0,-601523.754,0.0,-4500.0,-601516.254
"LEBT","010","","ID","Iris","001","","","LEBT-010:ID-Iris-001",0.0,40.0,1110.9,0.0,0.0,1110.9,1110.9,0.0,0.0,1110.9,1110.9,0.0,0.0,1110.9,0.0,-4500.0,-601516.254,0.0,-4500.0,-601516.254,0.0,-4500.0,-601516.254
"LEBT","010","","","Drf","006","","","",149.39,75.0,1110.9,0.0,0.0,1110.9,1185.595,0.0,0.0,1185.595,1260.29,0.0,0.0,1260.29,0.0,-4500.0,-601516.254,0.0,-4500.0,-601441.559,0.0,-4500.0,-601366.864
"LEBT","010","","","Drf","007","","","",60.0,75.0,1260.29,0.0,0.0,1260.29,1290.29,0.0,0.0,1290.29,1320.29,0.0,0.0,1320.29,0.0,-4500.0,-601366.864,0.0,-4500.0,-601336.864,0.0,-4500.0,-601306.864
"LEBT","010","","","Drf","008","","","",36.61,75.0,1320.29,0.0,0.0,1320.29,1338.595,0.0,0.0,1338.595,1356.9,0.0,0.0,1356.9,0.0,-4500.0,-601306.864,0.0,-4500.0,-601288.559,0.0,-4500.0,-601270.254
"LEBT","010","","","Drf","009","","","",95.0,35.0,1356.9,0.0,0.0,1356.9,1404.4,0.0,0.0,1404.4,1451.9,0.0,0.0,1451.9,0.0,-4500.0,-601270.254,0.0,-4500.0,-601222.754,0.0,-4500.0,-601175.254
"LEBT","010","","BMD","Chop","001","","","LEBT-010:BMD-Chop-001",0.0,35.0,1451.9,0.0,0.0,1451.9,1451.9,0.0,0.0,1451.9,1451.9,0.0,0.0,1451.9,0.0,-4500.0,-601175.254,0.0,-4500.0,-601175.254,0.0,-4500.0,-601175.254
"LEBT","010","","","Drf","010","","","",79.9,75.0,1451.9,0.0,0.0,1451.9,1491.85,0.0,0.0,1491.85,1531.8,0.0,0.0,1531.8,0.0,-4500.0,-601175.254,0.0,-4500.0,-601135.304,0.0,-4500.0,-601095.354
"LEBT","010","","PBI","FC","001","FC1","FC","LEBT-010:PBI-FC-001",0.0,75.0,1531.8,0.0,0.0,1531.8,1531.8,0.0,0.0,1531.8,1531.8,0.0,0.0,1531.8,0.0,-4500.0,-601095.354,0.0,-4500.0,-601095.354,0.0,-4500.0,-601095.354
"LEBT","010","","","Drf","011","","","",103.5,75.0,1531.8,0.0,0.0,1531.8,1583.55,0.0,0.0,1583.55,1635.3,0.0,0.0,1635.3,0.0,-4500.0,-601095.354,0.0,-4500.0,-601043.604,0.0,-4500.0,-600991.854
"LEBT","010","","PBI","Dpl","001","Dpl1","Dpl","LEBT-010:PBI-Dpl-001",0.0,75.0,1635.3,0.0,0.0,1635.3,1635.3,0.0,0.0,1635.3,1635.3,0.0,0.0,1635.3,0.0,-4500.0,-600991.854,0.0,-4500.0,-600991.854,0.0,-4500.0,-600991.854
"LEBT","010","","","Drf","012","","","",14.647,75.0,1635.3,0.0,0.0,1635.3,1642.623,0.0,0.0,1642.623,1649.947,0.0,0.0,1649.947,0.0,-4500.0,-600991.854,0.0,-4500.0,-600984.531,0.0,-4500.0,-600977.207
"LEBT","010","","PBI","EMU","001","EMU1","Alison Scanner","LEBT-010:PBI-EMU-001",0.0,75.0,1649.947,0.0,0.0,1649.947,1649.947,0.0,0.0,1649.947,1649.947,0.0,0.0,1649.947,0.0,-4500.0,-600977.207,0.0,-4500.0,-600977.207,0.0,-4500.0,-600977.207
"LEBT","010","","","Drf","013","","","",80.953,75.0,1649.947,0.0,0.0,1649.947,1690.423,0.0,0.0,1690.423,1730.9,0.0,0.0,1730.9,0.0,-4500.0,-600977.207,0.0,-4500.0,-600936.731,0.0,-4500.0,-600896.254
"LEBT","010","","PBI","NPM","001","NPM1A","BIF","LEBT-010:PBI-NPM-001",0.0,75.0,1730.9,0.0,0.0,1730.9,1730.9,0.0,0.0,1730.9,1730.9,0.0,0.0,1730.9,0.0,-4500.0,-600896.254,0.0,-4500.0,-600896.254,0.0,-4500.0,-600896.254
"LEBT","010","","","Drf","014","","","",45.5,75.0,1730.9,0.0,0.0,1730.9,1753.65,0.0,0.0,1753.65,1776.4,0.0,0.0,1776.4,0.0,-4500.0,-600896.254,0.0,-4500.0,-600873.504,0.0,-4500.0,-600850.754
"LEBT","010","","","Drf","015","","","",57.8,50.0,1776.4,0.0,0.0,1776.4,1805.3,0.0,0.0,1805.3,1834.2,0.0,0.0,1834.2,0.0,-4500.0,-600850.754,0.0,-4500.0,-600821.854,0.0,-4500.0,-600792.954
"LEBT","010","","BMD","Sol","002","","","LEBT-010:BMD-Sol-002",545.4,50.0,1834.2,0.0,0.0,1834.2,2106.9,0.0,0.0,2106.9,2379.6,0.0,0.0,2379.6,0.0,-4500.0,-600792.954,0.0,-4500.0,-600520.254,0.0,-4500.0,-600247.554
"LEBT","010","","PBI","BCM","001","BCM1","BCM","LEBT-010:PBI-BCM-001",0.0,50.0,2379.6,0.0,0.0,2379.6,2379.6,0.0,0.0,2379.6,2379.6,0.0,0.0,2379.6,0.0,-4500.0,-600247.554,0.0,-4500.0,-600247.554,0.0,-4500.0,-600247.554
"LEBT","010","","ID","Coll","001","","","LEBT-010:ID-Coll-001",103.362,50.0,2379.6,0.0,0.0,2379.6,2431.281,0.0,0.0,2431.281,2482.962,0.0,0.0,2482.962,0.0,-4500.0,-600247.554,0.0,-4500.0,-600195.873,0.0,-4500.0,-600144.192
"LEBT","010","","","Drf","016","","","",2.0,7.0,2482.962,0.0,0.0,2482.962,2483.962,0.0,0.0,2483.962,2484.962,0.0,0.0,2484.962,0.0,-4500.0,-600144.192,0.0,-4500.0,-600143.192,0.0,-4500.0,-600142.192
"LEBT","010","","","Drf","017","","","",2.0,20.0,2484.962,0.0,0.0,2484.962,2485.962,0.0,0.0,2485.962,2486.962,0.0,0.0,2486.962,0.0,-4500.0,-600142.192,0.0,-4500.0,-600141.192,0.0,-4500.0,-600140.192
"LEBT","010","","","Drf","018","","","",2.0,18.0,2486.962,0.0,0.0,2486.962,2487.962,0.0,0.0,2487.962,2488.962,0.0,0.0,2488.962,0.0,-4500.0,-600140.192,0.0,-4500.0,-600139.192,0.0,-4500.0,-600138.192
"LEBT","010","","","Drf","019","","","",1.0,20.0,2488.962,0.0,0.0,2488.962,2489.462,0.0,0.0,2489.462,2489.962,0.0,0.0,2489.962,0.0,-4500.0,-600138.192,0.0,-4500.0,-600137.692,0.0,-4500.0,-600137.192
"LEBT","010","","","Drf","020","","","",1.188,50.0,2489.962,0.0,0.0,2489.962,2490.556,0.0,0.0,2490.556,2491.15,0.0,0.0,2491.15,0.0,-4500.0,-600137.192,0.0,-4500.0,-600136.598,0.0,-4500.0,-600136.004
"LEBT","010","","","Drf","021","","","",5.0,9.61,2491.15,0.0,0.0,2491.15,2493.65,0.0,0.0,2493.65,2496.15,0.0,0.0,2496.15,0.0,-4500.0,-600136.004,0.0,-4500.0,-600133.504,0.0,-4500.0,-600131.004
"LEBT","010","","","Drf","022","","","",5.0,8.31,2496.15,0.0,0.0,2496.15,2498.65,0.0,0.0,2498.65,2501.15,0.0,0.0,2501.15,0.0,-4500.0,-600131.004,0.0,-4500.0,-600128.504,0.0,-4500.0,-600126.004
"LEBT","010","","","Drf","023","","","",4.75,7.013,2501.15,0.0,0.0,2501.15,2503.525,0.0,0.0,2503.525,2505.9,0.0,0.0,2505.9,0.0,-4500.0,-600126.004,0.0,-4500.0,-600123.629,0.0,-4500.0,-600121.254
"RFQ","010","","","RFC","001","","","",32.286,7.0,2505.9,0.0,0.0,2505.9,2522.043,0.0,0.0,2522.043,2538.186,0.0,0.0,2538.186,0.0,-4500.0,-600121.254,0.0,-4500.0,-600105.111,0.0,-4500.0,-600088.968
"RFQ","010","","","RFC","002","","","",5.381,7.0,2538.186,0.0,0.0,2538.186,2540.877,0.0,0.0,2540.877,2543.567,0.0,0.0,2543.567,0.0,-4500.0,-600088.968,0.0,-4500.0,-600086.278,0.0,-4500.0,-600083.587
"RFQ","010","","","RFC","003","","","",5.381,7.0,2543.567,0.0,0.0,2543.567,2546.258,0.0,0.0,2546.258,2548.948,0.0,0.0,2548.948,0.0,-4500.0,-600083.587,0.0,-4500.0,-600080.897,0.0,-4500.0,-600078.206
"RFQ","010","","","RFC","004","","","",5.381,7.0,2548.948,0.0,0.0,2548.948,2551.639,0.0,0.0,2551.639,2554.329,0.0,0.0,2554.329,0.0,-4500.0,-600078.206,0.0,-4500.0,-600075.516,0.0,-4500.0,-600072.825
"RFQ","010","","","RFC","005","","","",5.381,7.0,2554.329,0.0,0.0,2554.329,2557.019,0.0,0.0,2557.019,2559.71,0.0,0.0,2559.71,0.0,-4500.0,-600072.825,0.0,-4500.0,-600070.135,0.0,-4500.0,-600067.444
"RFQ","010","","","RFC","006","","","",5.381,7.0,2559.71,0.0,0.0,2559.71,2562.4,0.0,0.0,2562.4,2565.091,0.0,0.0,2565.091,0.0,-4500.0,-600067.444,0.0,-4500.0,-600064.754,0.0,-4500.0,-600062.063
"RFQ","010","","","RFC","007","","","",5.381,7.0,2565.091,0.0,0.0,2565.091,2567.781,0.0,0.0,2567.781,2570.472,0.0,0.0,2570.472,0.0,-4500.0,-600062.063,0.0,-4500.0,-600059.373,0.0,-4500.0,-600056.682
