"sect","len[mm]","s[mm]","MCS,s,x[mm]","MCS,s,y[mm]","MCS,s,z[mm]","MCS,m,x[mm]","MCS,m,y[mm]","MCS,m,z[mm]","MCS,e,x[mm]","MCS,e,y[mm]","MCS,e,z[mm]","TCS,s,x[mm]","TCS,s,y[mm]","TCS,s,z[mm]","TCS,m,x[mm]","TCS,m,y[mm]","TCS,m,z[mm]","TCS,e,x[mm]","TCS,e,y[mm]","TCS,e,z[mm]"
"ISrc",166.1,0.0,0.0,0.0,0.0,0.0,0.0,83.05,0.0,0.0,166.1,0.0,-4500.0,-602627.154,0.0,-4500.0,-602544.104,0.0,-4500.0,-602461.054
"LEBT",2339.8,166.1,0.0,0.0,166.1,0.0,0.0,1336.0,0.0,0.0,2505.9,0.0,-4500.0,-602461.054,0.0,-4500.0,-601291.154,0.0,-4500.0,-600121.254
"RFQ",4652.072,2505.9,0.0,0.0,2505.9,0.0,0.0,4831.936,0.0,0.0,7157.972,0.0,-4500.0,-600121.254,0.0,-4500.0,-597795.218,0.0,-4500.0,-595469.182
"MEBT",3812.0,7157.972,0.0,0.0,7157.972,0.0,0.0,9063.972,0.0,0.0,10969.972,0.0,-4500.0,-595469.182,0.0,-4500.0,-593563.182,0.0,-4500.0,-591657.182
"DTL",39158.746,10969.972,0.0,0.0,10969.972,0.0,0.0,30549.345,0.0,0.0,50128.718,0.0,-4500.0,-591657.182,0.0,-4500.0,-572077.809,0.0,-4500.0,-552498.436
"Spk",55649.0,50128.718,0.0,0.0,50128.718,0.0,0.0,77953.218,0.0,0.0,105777.718,0.0,-4500.0,-552498.436,0.0,-4500.0,-524673.936,0.0,-4500.0,-496849.436
"MBL",76680.0,105777.718,0.0,0.0,105777.718,0.0,0.0,144117.718,0.0,0.0,182457.718,0.0,-4500.0,-496849.436,0.0,-4500.0,-458509.436,0.0,-4500.0,-420169.436
"HBL",178920.0,182457.718,0.0,0.0,182457.718,0.0,0.0,271917.718,0.0,0.0,361377.718,0.0,-4500.0,-420169.436,0.0,-4500.0,-330709.436,0.0,-4500.0,-241249.436
"HEBT",132152.7,361377.718,0.0,0.0,361377.718,0.0,31.403,427453.337,0.0,62.806,493528.956,0.0,-4500.0,-241249.436,0.0,-4468.597,-175173.817,0.0,-4437.194,-109098.198
"A2T",105502.417,493530.418,0.0,62.806,493528.956,0.0,2281.403,546203.055,0.0,4500.0,598877.154,0.0,-4437.194,-109098.198,0.0,-2218.597,-56424.099,0.0,0.0,-3750.0
"PBW",2020.0,599032.835,0.0,4500.0,598877.154,0.0,4500.0,599887.154,0.0,4500.0,600897.154,0.0,0.0,-3750.0,0.0,0.0,-2740.0,0.0,0.0,-1730.0
"Mnlt",1545.0,601052.835,0.0,4500.0,600897.154,0.0,4500.0,601669.654,0.0,4500.0,602442.154,0.0,0.0,-1730.0,0.0,0.0,-957.5,0.0,0.0,-185.0
